Rank,Team,University,Conference,Goalie Won,Goalie Loss,Goalie Tied,Pct.,Year,Sportstype,,,,,,,,,
1,Minnesota St.,"Minnesota State University, Mankato ",CCHA,38,6,0,0.864,2021,M,,,,,,,,,
2,Quinnipiac,Quinnipiac University ,ECAC Hockey,32,7,3,0.798,2021,M,,,,,,,,,
3,Denver,University of Denver ,NCHC,31,9,1,0.768,2021,M,,,,,,,,,
4,Michigan,University of Michigan ,Big Ten,31,10,1,0.75,2021,M,,,,,,,,,
5,Notre Dame,University of Notre Dame ,Big Ten,28,12,0,0.7,2021,M,,,,,,,,,
6,Western Mich.,Western Michigan University ,NCHC,26,12,1,0.679,2021,M,,,,,,,,,
7,Minnesota,University of Minnesota ,Big Ten,26,13,0,0.667,2021,M,,,,,,,,,
8,Northeastern,Northeastern University ,Hockey East,25,13,1,0.654,2021,M,,,,,,,,,
9,Clarkson,Clarkson University ,ECAC Hockey,21,10,6,0.649,2021,M,,,,,,,,,
10,Harvard,Harvard University ,ECAC Hockey,21,11,3,0.643,2021,M,,,,,,,,,
10,UMass Lowell,University of Massachusetts Lowell ,Hockey East,21,11,3,0.643,2021,M,,,,,,,,,
12,North Dakota,University of North Dakota ,NCHC,24,14,1,0.628,2021,M,,,,,,,,,
13,Cornell,Cornell University ,ECAC Hockey,18,10,4,0.625,2021,M,,,,,,,,,
14,Massachusetts,University of Massachusetts Amherst ,Hockey East,22,13,2,0.622,2021,M,,,,,,,,,
14,Ohio St.,The Ohio State University ,Big Ten,22,13,2,0.622,2021,M,,,,,,,,,
16,American Int'l,American International College ,Atlantic Hockey,22,13,3,0.618,2021,M,,,,,,,,,
17,Michigan Tech,Michigan Technological University ,CCHA,21,13,3,0.608,2021,M,,,,,,,,,
18,Providence,Providence College ,Hockey East,22,14,2,0.605,2021,M,,,,,,,,,
19,Boston U.,Boston University ,Hockey East,19,13,3,0.586,2021,M,,,,,,,,,
20,Minn. Duluth,University of Minnesota Duluth ,NCHC,22,16,4,0.571,2021,M,,,,,,,,,
21,Merrimack,Merrimack College ,Hockey East,19,15,1,0.557,2021,M,,,,,,,,,
22,UConn,University of Connecticut (UConn) ,Hockey East,20,16,0,0.556,2021,M,,,,,,,,,
23,Northern Mich.,Northern Michigan University ,CCHA,20,16,1,0.554,2021,M,,,,,,,,,
24,Omaha,University of Nebraska Omaha ,NCHC,21,17,0,0.553,2021,M,,,,,,,,,
25,St. Cloud St.,St. Cloud State University ,NCHC,18,15,4,0.541,2021,M,,,,,,,,,
26,RIT,Rochester Institute of Technology (RIT) ,Atlantic Hockey,18,16,4,0.526,2021,M,,,,,,,,,
27,Arizona St.,Arizona State University ,DI Independent,17,17,1,0.5,2021,M,,,,,,,,,
27,Canisius,Canisius College ,Atlantic Hockey,16,16,3,0.5,2021,M,,,,,,,,,
27,Colgate,Colgate University ,ECAC Hockey,18,18,4,0.5,2021,M,,,,,,,,,
27,Lake Superior St.,Lake Superior State University ,CCHA,18,18,1,0.5,2021,M,,,,,,,,,
31,Bemidji St.,Bemidji State University ,CCHA,19,20,0,0.487,2021,M,,,,,,,,,
32,Air Force,United States Air Force Academy ,Atlantic Hockey,16,17,3,0.486,2021,M,,,,,,,,,
33,Mercyhurst,Mercyhurst University ,Atlantic Hockey,16,19,4,0.462,2021,M,,,,,,,,,
34,Boston College,Boston College ,Hockey East,15,18,5,0.461,2021,M,,,,,,,,,
34,Penn St.,Pennsylvania State University ,Big Ten,17,20,1,0.461,2021,M,,,,,,,,,
36,Sacred Heart,Sacred Heart University ,Atlantic Hockey,15,18,4,0.459,2021,M,,,,,,,,,
37,Army West Point,United States Military Academy (Army) ,Atlantic Hockey,14,17,4,0.457,2021,M,,,,,,,,,
38,Bowling Green,Bowling Green State University ,CCHA,15,19,3,0.446,2021,M,,,,,,,,,
39,Rensselaer,Rensselaer Polytechnic Institute (RPI) ,ECAC Hockey,18,23,3,0.443,2021,M,,,,,,,,,
40,Alas. Fairbanks,University of Alaska Fairbanks ,DI Independent,14,18,2,0.441,2021,M,,,,,,,,,
41,Union,Union College (New York) ,NY,14,19,4,0.432,2021,M,,,,,,,,,
42,New Hampshire,University of New Hampshire ,Hockey East,14,19,1,0.426,2021,M,,,,,,,,,
43,Bentley,Bentley University ,Atlantic Hockey,14,20,2,0.417,2021,M,,,,,,,,,
44,St. Lawrence,St. Lawrence University ,ECAC Hockey,11,19,7,0.392,2021,M,,,,,,,,,
45,Holy Cross,College of the Holy Cross ,Atlantic Hockey,12,23,2,0.351,2021,M,,,,,,,,,
46,Michigan St.,Michigan State University ,Big Ten,12,23,1,0.347,2021,M,,,,,,,,,
46,Niagara,Niagara University ,Atlantic Hockey,11,22,3,0.347,2021,M,,,,,,,,,
48,LIU,Long Island University ,DI Independent,10,21,3,0.338,2021,M,,,,,,,,,
49,Ferris St.,Ferris State University ,CCHA,11,24,1,0.319,2021,M,,,,,,,,,
50,Wisconsin,University of Wisconsin,Big Ten,10,24,3,0.311,2021,M,,,,,,,,,
51,Colorado Col.,Colorado College ,NCHC,9,24,3,0.292,2021,M,,,,,,,,,
52,Brown,Brown University ,ECAC Hockey,7,20,4,0.29,2021,M,,,,,,,,,
52,Princeton,Princeton University ,ECAC Hockey,8,21,2,0.29,2021,M,,,,,,,,,
54,Yale,Yale University ,ECAC Hockey,8,21,1,0.283,2021,M,,,,,,,,,
55,Maine,University of Maine ,Hockey East,7,22,4,0.273,2021,M,,,,,,,,,
56,Dartmouth,Dartmouth College ,ECAC Hockey,7,22,3,0.266,2021,M,,,,,,,,,
57,Vermont,University of Vermont ,Hockey East,8,25,2,0.257,2021,M,,,,,,,,,
58,Miami,Miami University (Ohio) ,OH,7,27,2,0.222,2021,M,,,,,,,,,
59,St. Thomas,University of St. Thomas (Minnesota) ,MN,3,32,1,0.097,2021,M,,,,,,,,,
1,Massachusetts,University of Massachusetts Amherst ,Hockey East,4,0,0,1,2020,M,,,,,,,,,
2,St. Cloud St.,St. Cloud State University ,NCHC,3,1,0,0.75,2020,M,,,,,,,,,
3,Minnesota St.,"Minnesota State University, Mankato ",WCHA,2,1,0,0.667,2020,M,,,,,,,,,
4,Bemidji St.,Bemidji State University ,WCHA,1,1,0,0.5,2020,M,,,,,,,,,
4,Minn. Duluth,University of Minnesota Duluth ,NCHC,1,1,0,0.5,2020,M,,,,,,,,,
4,Minnesota,University of Minnesota ,Big Ten,1,1,0,0.5,2020,M,,,,,,,,,
4,North Dakota,University of North Dakota ,NCHC,1,1,0,0.5,2020,M,,,,,,,,,
8,American Int'l,American International College ,Atlantic Hockey,0,1,0,0,2020,M,,,,,,,,,
8,Boston College,Boston College ,Hockey East,0,1,0,0,2020,M,,,,,,,,,
8,Boston U.,Boston University ,Hockey East,0,1,0,0,2020,M,,,,,,,,,
8,Lake Superior St.,Lake Superior State University ,WCHA,0,1,0,0,2020,M,,,,,,,,,
8,Omaha,University of Nebraska Omaha ,NCHC,0,1,0,0,2020,M,,,,,,,,,
8,Quinnipiac,Quinnipiac University ,ECAC Hockey,0,1,0,0,2020,M,,,,,,,,,
8,Wisconsin,University of Wisconsin,Big Ten,0,1,0,0,2020,M,,,,,,,,,
1,Cornell,Cornell University ,ECAC Hockey,23,2,4,0.862,2019,M,,,,,,,,,
2,Minnesota St.,"Minnesota State University, Mankato ",WCHA,31,5,2,0.842,2019,M,,,,,,,,,
3,North Dakota,University of North Dakota ,NCHC,26,5,4,0.8,2019,M,,,,,,,,,
4,Boston College,Boston College ,Hockey East,24,8,2,0.735,2019,M,,,,,,,,,
5,Clarkson,Clarkson University ,ECAC Hockey,23,8,3,0.721,2019,M,,,,,,,,,
6,Minn. Duluth,University of Minnesota Duluth ,NCHC,22,10,2,0.676,2019,M,,,,,,,,,
7,Denver,University of Denver ,NCHC,21,9,6,0.667,2019,M,,,,,,,,,
8,Bemidji St.,Bemidji State University ,WCHA,22,10,5,0.662,2019,M,,,,,,,,,
9,Sacred Heart,Sacred Heart University ,Atlantic Hockey,21,10,3,0.662,2019,M,,,,,,,,,
10,Arizona St.,Arizona State University ,DI Independent,22,11,3,0.653,2019,M,,,,,,,,,
11,Penn St.,Pennsylvania State University ,Big Ten,20,10,4,0.647,2019,M,,,,,,,,,
11,Massachusetts,University of Massachusetts Amherst ,Hockey East,21,11,2,0.647,2019,M,,,,,,,,,
11,Quinnipiac,Quinnipiac University ,ECAC Hockey,21,11,2,0.647,2019,M,,,,,,,,,
14,American Int'l,American International College ,Atlantic Hockey,21,12,1,0.632,2019,M,,,,,,,,,
15,Ohio St.,The Ohio State University ,Big Ten,20,11,5,0.625,2019,M,,,,,,,,,
16,UMass Lowell,University of Massachusetts Lowell ,Hockey East,18,10,6,0.618,2019,M,,,,,,,,,
17,Bowling Green,Bowling Green State University ,WCHA,21,13,4,0.605,2019,M,,,,,,,,,
18,Maine,University of Maine ,Hockey East,18,11,5,0.603,2019,M,,,,,,,,,
19,RIT,Rochester Institute of Technology (RIT) ,Atlantic Hockey,19,13,4,0.583,2019,M,,,,,,,,,
20,Harvard,Harvard University ,ECAC Hockey,15,10,6,0.581,2019,M,,,,,,,,,
21,Michigan Tech,Michigan Technological University ,WCHA,21,15,3,0.577,2019,M,,,,,,,,,
22,Northeastern,Northeastern University ,Hockey East,18,13,3,0.574,2019,M,,,,,,,,,
23,Western Mich.,Western Michigan University ,NCHC,18,13,5,0.569,2019,M,,,,,,,,,
24,Army West Point,United States Military Academy (Army) ,Atlantic Hockey,17,13,3,0.561,2019,M,,,,,,,,,
25,Providence,Providence College ,Hockey East,16,12,6,0.559,2019,M,,,,,,,,,
26,Michigan,University of Michigan ,Big Ten,18,14,4,0.556,2019,M,,,,,,,,,
27,Rensselaer,Rensselaer Polytechnic Institute (RPI) ,ECAC Hockey,17,15,2,0.529,2019,M,,,,,,,,,
28,Minnesota,University of Minnesota ,Big Ten,16,14,7,0.527,2019,M,,,,,,,,,
29,Northern Mich.,Northern Michigan University ,WCHA,18,16,4,0.526,2019,M,,,,,,,,,
30,Bentley,Bentley University ,Atlantic Hockey,17,16,3,0.514,2019,M,,,,,,,,,
30,Alas. Fairbanks,University of Alaska Fairbanks ,WCHA,16,15,5,0.514,2019,M,,,,,,,,,
32,Yale,Yale University ,ECAC Hockey,15,15,2,0.5,2019,M,,,,,,,,,
32,Boston U.,Boston University ,Hockey East,13,13,8,0.5,2019,M,,,,,,,,,
32,UConn,University of Connecticut (UConn) ,Hockey East,15,15,4,0.5,2019,M,,,,,,,,,
32,Notre Dame,University of Notre Dame ,Big Ten,15,15,7,0.5,2019,M,,,,,,,,,
32,New Hampshire,University of New Hampshire ,Hockey East,15,15,4,0.5,2019,M,,,,,,,,,
37,Dartmouth,Dartmouth College ,ECAC Hockey,13,14,4,0.484,2019,M,,,,,,,,,
38,St. Cloud St.,St. Cloud State University ,NCHC,13,15,6,0.471,2019,M,,,,,,,,,
39,Omaha,University of Nebraska Omaha ,NCHC,14,17,5,0.458,2019,M,,,,,,,,,
40,Colgate,Colgate University ,ECAC Hockey,12,16,8,0.444,2019,M,,,,,,,,,
40,Michigan St.,Michigan State University ,Big Ten,15,19,2,0.444,2019,M,,,,,,,,,
42,Robert Morris,Robert Morris University ,Atlantic Hockey,13,19,5,0.419,2019,M,,,,,,,,,
43,Wisconsin,University of Wisconsin,Big Ten,14,20,2,0.417,2019,M,,,,,,,,,
43,Air Force,United States Air Force Academy ,Atlantic Hockey,12,18,6,0.417,2019,M,,,,,,,,,
45,Niagara,Niagara University ,Atlantic Hockey,12,18,4,0.412,2019,M,,,,,,,,,
46,Lake Superior St.,Lake Superior State University ,WCHA,14,23,4,0.39,2019,M,,,,,,,,,
47,Colorado Col.,Colorado College ,NCHC,11,20,3,0.368,2019,M,,,,,,,,,
48,Holy Cross,College of the Holy Cross ,Atlantic Hockey,11,21,5,0.365,2019,M,,,,,,,,,
49,Canisius,Canisius College ,Atlantic Hockey,10,20,6,0.361,2019,M,,,,,,,,,
50,Miami,Miami University (Ohio) ,OH,8,21,5,0.309,2019,M,,,,,,,,,
50,Merrimack,Merrimack College ,Hockey East,9,22,3,0.309,2019,M,,,,,,,,,
52,Brown,Brown University ,ECAC Hockey,8,21,2,0.29,2019,M,,,,,,,,,
53,Princeton,Princeton University ,ECAC Hockey,6,20,5,0.274,2019,M,,,,,,,,,
54,Union,Union College (New York) ,NY,8,25,4,0.27,2019,M,,,,,,,,,
55,Vermont,University of Vermont ,Hockey East,5,23,6,0.235,2019,M,,,,,,,,,
56,Ferris St.,Ferris State University ,WCHA,7,26,2,0.229,2019,M,,,,,,,,,
57,Alas. Anchorage,University of Alaska Anchorage ,WCHA,4,25,7,0.208,2019,M,,,,,,,,,
58,St. Lawrence,St. Lawrence University ,ECAC Hockey,4,27,5,0.181,2019,M,,,,,,,,,
59,Mercyhurst,Mercyhurst University ,Atlantic Hockey,5,29,2,0.167,2019,M,,,,,,,,,
60,Alabama Huntsville,University of Alabama in Huntsville ,WCHA,2,26,6,0.147,2019,M,,,,,,,,,
1,St. Cloud St.,St. Cloud State University ,NCHC,30,6,3,0.808,2018,M,,,,,,,,,
2,Minnesota St.,"Minnesota State University, Mankato ",WCHA,32,8,2,0.786,2018,M,,,,,,,,,
3,Massachusetts,University of Massachusetts Amherst ,Hockey East,31,10,0,0.756,2018,M,,,,,,,,,
4,Minn. Duluth,University of Minnesota Duluth ,NCHC,29,11,2,0.714,2018,M,,,,,,,,,
5,Quinnipiac,Quinnipiac University ,ECAC Hockey,26,10,2,0.711,2018,M,,,,,,,,,
6,Northeastern,Northeastern University ,Hockey East,27,11,1,0.705,2018,M,,,,,,,,,
7,Clarkson,Clarkson University ,ECAC Hockey,26,11,2,0.692,2018,M,,,,,,,,,
8,Bowling Green,Bowling Green State University ,WCHA,25,11,5,0.671,2018,M,,,,,,,,,
9,Denver,University of Denver ,NCHC,24,12,5,0.646,2018,M,,,,,,,,,
10,Providence,Providence College ,Hockey East,24,12,6,0.643,2018,M,,,,,,,,,
11,Cornell,Cornell University ,ECAC Hockey,21,11,4,0.639,2018,M,,,,,,,,,
12,Lake Superior St.,Lake Superior State University ,WCHA,23,13,2,0.632,2018,M,,,,,,,,,
13,Ohio St.,The Ohio State University ,Big Ten,20,11,5,0.625,2018,M,,,,,,,,,
14,Harvard,Harvard University ,ECAC Hockey,19,11,3,0.621,2018,M,,,,,,,,,
15,Arizona St.,Arizona State University ,DI Independent,21,13,1,0.614,2018,M,,,,,,,,,
16,Notre Dame,University of Notre Dame ,Big Ten,23,14,3,0.613,2018,M,,,,,,,,,
17,Penn St.,Pennsylvania State University ,Big Ten,22,15,2,0.59,2018,M,,,,,,,,,
17,Union,Union College (New York) ,NY,20,13,6,0.59,2018,M,,,,,,,,,
19,Western Mich.,Western Michigan University ,NCHC,21,15,1,0.581,2018,M,,,,,,,,,
19,UMass Lowell,University of Massachusetts Lowell ,Hockey East,19,13,5,0.581,2018,M,,,,,,,,,
21,American Int'l,American International College ,Atlantic Hockey,23,17,1,0.573,2018,M,,,,,,,,,
22,Northern Mich.,Northern Michigan University ,WCHA,21,16,2,0.564,2018,M,,,,,,,,,
23,Bentley,Bentley University ,Atlantic Hockey,17,15,5,0.527,2018,M,,,,,,,,,
24,Minnesota,University of Minnesota ,Big Ten,18,16,4,0.526,2018,M,,,,,,,,,
25,Brown,Brown University ,ECAC Hockey,15,14,5,0.515,2018,M,,,,,,,,,
26,Air Force,United States Air Force Academy ,Atlantic Hockey,16,15,5,0.514,2018,M,,,,,,,,,
27,North Dakota,University of North Dakota ,NCHC,18,17,2,0.514,2018,M,,,,,,,,,
28,Yale,Yale University ,ECAC Hockey,15,15,3,0.5,2018,M,,,,,,,,,
28,RIT,Rochester Institute of Technology (RIT) ,Atlantic Hockey,17,17,4,0.5,2018,M,,,,,,,,,
30,Sacred Heart,Sacred Heart University ,Atlantic Hockey,16,17,4,0.486,2018,M,,,,,,,,,
31,Niagara,Niagara University ,Atlantic Hockey,17,19,5,0.476,2018,M,,,,,,,,,
32,Bemidji St.,Bemidji State University ,WCHA,15,17,6,0.474,2018,M,,,,,,,,,
32,Boston U.,Boston University ,Hockey East,16,18,4,0.474,2018,M,,,,,,,,,
34,Maine,University of Maine ,Hockey East,15,17,4,0.472,2018,M,,,,,,,,,
35,Colorado Col.,Colorado College ,NCHC,17,20,4,0.463,2018,M,,,,,,,,,
36,New Hampshire,University of New Hampshire ,Hockey East,12,15,9,0.458,2018,M,,,,,,,,,
36,Michigan,University of Michigan ,Big Ten,13,16,7,0.458,2018,M,,,,,,,,,
38,Wisconsin,University of Wisconsin,Big Ten,14,18,5,0.446,2018,M,,,,,,,,,
39,Dartmouth,Dartmouth College ,ECAC Hockey,13,17,4,0.441,2018,M,,,,,,,,,
40,Robert Morris,Robert Morris University ,Atlantic Hockey,16,22,2,0.425,2018,M,,,,,,,,,
41,Michigan Tech,Michigan Technological University ,WCHA,14,20,4,0.421,2018,M,,,,,,,,,
42,Michigan St.,Michigan State University ,Big Ten,12,19,5,0.403,2018,M,,,,,,,,,
42,Canisius,Canisius College ,Atlantic Hockey,12,19,5,0.403,2018,M,,,,,,,,,
44,Mercyhurst,Mercyhurst University ,Atlantic Hockey,13,21,5,0.397,2018,M,,,,,,,,,
44,Army West Point,United States Military Academy (Army) ,Atlantic Hockey,12,20,7,0.397,2018,M,,,,,,,,,
44,Boston College,Boston College ,Hockey East,14,22,3,0.397,2018,M,,,,,,,,,
47,Vermont,University of Vermont ,Hockey East,12,19,3,0.397,2018,M,,,,,,,,,
48,UConn,University of Connecticut (UConn) ,Hockey East,12,20,2,0.382,2018,M,,,,,,,,,
49,Alas. Fairbanks,University of Alaska Fairbanks ,WCHA,12,21,3,0.375,2018,M,,,,,,,,,
50,Princeton,Princeton University ,ECAC Hockey,10,18,3,0.371,2018,M,,,,,,,,,
51,Holy Cross,College of the Holy Cross ,Atlantic Hockey,10,21,5,0.347,2018,M,,,,,,,,,
52,Miami,Miami University (Ohio) ,OH,11,23,4,0.342,2018,M,,,,,,,,,
53,Colgate,Colgate University ,ECAC Hockey,10,23,3,0.319,2018,M,,,,,,,,,
53,Ferris St.,Ferris State University ,WCHA,10,23,3,0.319,2018,M,,,,,,,,,
53,Rensselaer,Rensselaer Polytechnic Institute (RPI) ,ECAC Hockey,10,23,3,0.319,2018,M,,,,,,,,,
56,Omaha,University of Nebraska Omaha ,NCHC,9,24,3,0.292,2018,M,,,,,,,,,
