Rank,Team,univeristy,Conference,Won,Lost,Year,Sportstype
1,Uindy,University of Indianapolis ,GLVC,22,1,2021,W
2,Queens,Queens University of Charlotte,NC,21,1,2021,W
3,Regis,Regis University,CO,17,1,2021,W
4,East Stroudsburg,East Stroudsburg University of Pennsylvania,PSAC,20,2,2021,W
5,Grand Valley St.,Grand Valley State University,GLIAC,19,2,2021,W
6,Adelphi,Adelphi University,NE10,18,3,2021,W
6,Stonehill,Stonehill College,NE10,18,3,2021,W
8,West Chester,West Chester University of Pennsylvania,PSAC,17,3,2021,W
9,Fla. Southern,Florida Southern College,Sunshine State,16,4,2021,W
10,Wingate,Wingate University,SAC,15,4,2021,W
11,Embry-Riddle,Riddle Aeronautical University ,FL,13,4,2021,W
11,Lynn,Lynn University,Sunshine State,13,4,2021,W
11,Rollins,Rollins College,Sunshine State,13,4,2021,W
14,Lindenwood,Lindenwood University,GLVC,15,5,2021,W
15,Dominican,Dominican College ,NY,14,5,2021,W
15,Mercy,Mercy College,ECC,14,5,2021,W
15,Pace,Pace University,NE10,14,5,2021,W
15,Seton Hill,Seton Hill University,PSAC,14,5,2021,W
19,Mount Olive,University of Mount Olive,Conference Carolinas,13,5,2021,W
19,Walsh,Walsh University,G-MAC,13,5,2021,W
21,Le Moyne,Le Moyne College,NE10,15,6,2021,W
22,Limestone,Limestone University,SAC,12,5,2021,W
23,Mercyhurst,Mercyhurst University,PSAC,14,6,2021,W
24,Davenport,Davenport University,GLIAC,13,6,2021,W
25,Colorado Mesa,Colorado Mesa University,RMAC,12,6,2021,W
25,Indiana,Indiana University of Pennsylvania,PA,12,6,2021,W
25,Millersville,Millersville University of Pennsylvania,PSAC,12,6,2021,W
28,Alabama Huntsville,University of Alabama in Huntsville,Gulf South,11,6,2021,W
29,Florida Tech,Florida Institute of Technology,Sunshine State,9,5,2021,W
30,Georgian Court,Georgian Court University,CACC,12,7,2021,W
30,Lincoln Memorial,Lincoln Memorial University,SAC,12,7,2021,W
32,Jefferson,Jefferson ,CACC,10,6,2021,W
33,Findlay,University of Findlay,G-MAC,11,7,2021,W
33,New Haven,University of New Haven,NE10,11,7,2021,W
33,Wilmington,Wilmington University ,DE,11,7,2021,W
36,Notre Dame,University of Notre Dame,OH,9,6,2021,W
36,Roberts Wesleyan,Roberts Wesleyan College,ECC,9,6,2021,W
38,Bloomsburg,Bloomsburg University of Pennsylvania,PSAC,10,7,2021,W
38,Rockhurst,Rockhurst University,GLVC,10,7,2021,W
38,Slippery Rock,Slippery Rock University of Pennsylvania,PSAC,10,7,2021,W
41,Belmont Abbey,Belmont Abbey College,Conference Carolinas,11,8,2021,W
41,Flagler,Flagler College,Gulf South,11,8,2021,W
41,Newberry,Newberry College,SAC,11,8,2021,W
41,Tampa,University of Tampa,Sunshine State,11,8,2021,W
45,Emmanuel,Emmanuel College ,GA,9,7,2021,W
45,Southern N.H.,Southern New Hampshire University,NE10,9,7,2021,W
45,UC-Colo. Springs,University of Colorado Colorado Springs ,RMAC,9,7,2021,W
48,Assumption,Assumption University,NE10,10,8,2021,W
48,Barton,Barton College,Conference Carolinas,10,8,2021,W
48,Lander,Lander University,Gulf South,10,8,2021,W
51,Bridgeport,University of Bridgeport,ECC,7,6,2021,W
52,Molloy,Molloy College,ECC,9,8,2021,W
52,Northern Mich.,Northern Michigan University,GLIAC,9,8,2021,W
52,Saint Rose,The College of Saint Rose,NE10,9,8,2021,W
55,Bentley,Bentley University,NE10,8,8,2021,W
55,Lee,Lee University,Gulf South,8,8,2021,W
55,Lock Haven,Lock Haven University of Pennsylvania,PSAC,8,8,2021,W
58,North Greenville,North Greenville University,Conference Carolinas,9,10,2021,W
59,Catawba,Catawba College,SAC,8,9,2021,W
59,Holy Family,Holy Family University,CACC,8,9,2021,W
59,McKendree,McKendree University,GLVC,8,9,2021,W
59,Missouri Western,Missouri Western State University,GLVC,8,9,2021,W
63,Mars Hill,Mars Hill University,SAC,7,8,2021,W
64,Concordia-St. Paul,"Concordia University, St. Paul ",GLIAC,8,10,2021,W
64,Lenoir-Rhyne,Lenoir,SAC,8,10,2021,W
66,St. Anselm,Saint Anselm College,NE10,7,9,2021,W
66,UVA Wise,University of Virginia's College at Wise,SAC,7,9,2021,W
68,Young Harris,Young Harris College,Gulf South,7,10,2021,W
69,Charleston,University of Charleston,WV,6,9,2021,W
70,Saint Leo,Saint Leo University,Sunshine State,7,11,2021,W
71,Quincy,Quincy University,GLVC,6,10,2021,W
72,Ashland,Ashland University,G-MAC,6,11,2021,W
73,Davis & Elkins,Davis & Elkins College,MEC,5,10,2021,W
73,Maryville,Maryville University of St. Louis,MO,4,8,2021,W
73,Southern Wesleyan,Southern Wesleyan University,Conference Carolinas,6,12,2021,W
76,Montevallo,University of Montevallo,Gulf South,5,11,2021,W
76,Shepherd,Shepherd University,PSAC,5,11,2021,W
78,St. Thomas Aquinas,St. Thomas Aquinas College,ECC,4,9,2021,W
79,Gannon,Gannon University,PSAC,5,12,2021,W
79,Post,Post University,CACC,5,12,2021,W
81,Lewis,Lewis University,GLVC,4,10,2021,W
82,Tiffin,Tiffin University,G-MAC,5,13,2021,W
83,Franklin Pierce,Franklin Pierce University,NE10,4,11,2021,W
84,Fort Lewis,Fort Lewis College,RMAC,4,12,2021,W
84,Southern Conn. St.,Southern Connecticut State University,NE10,4,12,2021,W
84,Tusculum,Tusculum University,SAC,4,12,2021,W
87,Kutztown,Kutztown University of Pennsylvania,PSAC,4,13,2021,W
87,Shippensburg,Shippensburg University of Pennsylvania,PSAC,4,13,2021,W
89,Chowan,Chowan University,Conference Carolinas,3,10,2021,W
90,Chestnut Hill,Chestnut Hill College,CACC,3,11,2021,W
90,Lake Erie,Lake Erie College,G-MAC,3,11,2021,W
90,West Va. Wesleyan,West Virginia Wesleyan College,MEC,3,11,2021,W
90,Westminster,Westminster College ,UT,3,11,2021,W
94,Felician,Felician University,CACC,3,12,2021,W
94,Lees-McRae,Lees,Conference Carolinas,3,12,2021,W
94,Shorter,Shorter University,Gulf South,3,12,2021,W
97,American Int'l,American International College,NE10,3,13,2021,W
98,Palm Beach Atl.,Palm Beach Atlantic University,Sunshine State,2,12,2021,W
99,CSU Pueblo,Colorado State University Pueblo,RMAC,2,13,2021,W
100,Edinboro,Edinboro University of Pennsylvania,PSAC,2,15,2021,W
1,Lindenwood,Lindenwood University,GLVC,17,1,2020,W
2,Le Moyne,Le Moyne College,NE10,13,1,2020,W
2,West Chester,West Chester University of Pennsylvania,PSAC,13,1,2020,W
4,Fla. Southern,Florida Southern College,Sunshine State,9,1,2020,W
5,Queens,Queens University of Charlotte,NC,14,2,2020,W
5,Regis,Regis University,CO,14,2,2020,W
5,Roberts Wesleyan,Roberts Wesleyan College,ECC,14,2,2020,W
5,UIndy,University of Indianapolis ,GLVC,14,2,2020,W
9,Mount Olive,University of Mount Olive,Conference Carolinas,13,2,2020,W
10,Georgian Court,Georgian Court University,CACC,12,2,2020,W
10,Grand Valley St.,Grand Valley State University,GLIAC,12,2,2020,W
10,Mercy,Mercy College,ECC,12,2,2020,W
10,Rollins,Rollins College,Sunshine State,6,1,2020,W
14,Seton Hill,Seton Hill University,PSAC,13,3,2020,W
15,Alabama Huntsville,University of Alabama in Huntsville,Gulf South,12,3,2020,W
15,Bentley,Bentley University,NE10,12,3,2020,W
15,Limestone,Limestone University,SAC,12,3,2020,W
15,Notre Dame,University of Notre Dame,OH,12,3,2020,W
19,Davenport,Davenport University,GLIAC,11,3,2020,W
19,Jefferson,Jefferson ,CACC,11,3,2020,W
19,Wingate,Wingate University,SAC,11,3,2020,W
22,East Stroudsburg,East Stroudsburg University of Pennsylvania,PSAC,12,4,2020,W
23,Belmont Abbey,Belmont Abbey College,Conference Carolinas,11,4,2020,W
24,St. Anselm,Saint Anselm College,NE10,8,3,2020,W
25,McKendree,McKendree University,GLVC,10,4,2020,W
25,Mercyhurst,Mercyhurst University,PSAC,10,4,2020,W
27,Barton,Barton College,Conference Carolinas,7,3,2020,W
27,Franklin Pierce,Franklin Pierce University,NE10,7,3,2020,W
27,Tampa,University of Tampa,Sunshine State,7,3,2020,W
30,Adelphi,Adelphi University,NE10,9,4,2020,W
30,Lee,Lee University,Gulf South,9,4,2020,W
30,Pace,Pace University,NE10,9,4,2020,W
33,Assumption,Assumption University,NE10,8,4,2020,W
33,Montevallo,University of Montevallo,Gulf South,8,4,2020,W
33,UC-Colo. Springs,University of Colorado Colorado Springs ,RMAC,8,4,2020,W
36,Colorado Mesa,Colorado Mesa University,RMAC,8,5,2020,W
37,Post,Post University,CACC,6,4,2020,W
37,Walsh,Walsh University,G-MAC,9,6,2020,W
39,Bloomsburg,Bloomsburg University of Pennsylvania,PSAC,8,6,2020,W
39,UVA Wise,University of Virginia's College at Wise,SAC,8,6,2020,W
41,Wilmington,Wilmington University ,DE,6,5,2020,W
42,Indiana,Indiana University of Pennsylvania,PA,6,6,2020,W
42,New Haven,University of New Haven,NE10,7,7,2020,W
42,Saint Leo,Saint Leo University,Sunshine State,5,5,2020,W
45,Findlay,University of Findlay,G-MAC,6,7,2020,W
45,Rockhurst,Rockhurst University,GLVC,6,7,2020,W
47,Davis & Elkins,Davis & Elkins College,MEC,5,6,2020,W
48,St. Thomas Aquinas,St. Thomas Aquinas College,ECC,4,5,2020,W
49,Lees-McRae,Lees,Conference Carolinas,3,4,2020,W
49,Northern Mich.,Northern Michigan University,GLIAC,6,8,2020,W
51,Fort Lewis,Fort Lewis College,RMAC,5,7,2020,W
51,Lenoir-Rhyne,Lenoir,SAC,5,7,2020,W
51,Newberry,Newberry College,SAC,5,7,2020,W
51,Slippery Rock,Slippery Rock University of Pennsylvania,PSAC,5,7,2020,W
55,Shepherd,Shepherd University,PSAC,4,6,2020,W
55,Stonehill,Stonehill College,NE10,4,6,2020,W
55,Tiffin,Tiffin University,G-MAC,6,9,2020,W
58,Missouri Western,Missouri Western State University,GLVC,5,8,2020,W
58,North Greenville,North Greenville University,Conference Carolinas,5,8,2020,W
58,Shippensburg,Shippensburg University of Pennsylvania,PSAC,5,8,2020,W
58,Young Harris,Young Harris College,Gulf South,5,8,2020,W
62,Alderson Broaddus,Alderson Broaddus University,G-MAC,4,7,2020,W
62,Lock Haven,Lock Haven University of Pennsylvania,PSAC,4,7,2020,W
62,Molloy,Molloy College,ECC,4,7,2020,W
62,Westminster,Westminster College ,UT,4,7,2020,W
66,Charleston,University of Charleston,WV,5,9,2020,W
67,Edinboro,Edinboro University of Pennsylvania,PSAC,1,2,2020,W
67,Lewis,Lewis University,GLVC,4,8,2020,W
69,CSU Pueblo,Colorado State University Pueblo,RMAC,4,9,2020,W
70,Concordia-St. Paul,"Concordia University, St. Paul ",GLIAC,3,7,2020,W
70,Lander,Lander University,Gulf South,3,7,2020,W
72,Lincoln Memorial,Lincoln Memorial University,SAC,2,5,2020,W
72,Southern Wesleyan,Southern Wesleyan University,Conference Carolinas,4,10,2020,W
74,Caldwell,Caldwell University,CACC,3,8,2020,W
74,Millersville,Millersville University of Pennsylvania,PSAC,3,8,2020,W
76,Mars Hill,Mars Hill University,SAC,3,9,2020,W
77,Chowan,Chowan University,Conference Carolinas,2,7,2020,W
77,Florida Tech,Florida Institute of Technology,Sunshine State,2,7,2020,W
77,Holy Family,Holy Family University,CACC,2,7,2020,W
77,Lynn,Lynn University,Sunshine State,2,7,2020,W
77,Southern Conn. St.,Southern Connecticut State University,NE10,2,7,2020,W
82,Bridgeport,University of Bridgeport,ECC,1,4,2020,W
82,Coker,Coker University,SAC,2,8,2020,W
84,Ursuline,Ursuline College,G-MAC,2,9,2020,W
85,Quincy,Quincy University,GLVC,2,10,2020,W
85,Southern N.H.,Southern New Hampshire University,NE10,2,10,2020,W
87,American Int'l,American International College,NE10,2,11,2020,W
88,Tusculum,Tusculum University,SAC,1,6,2020,W
89,Converse,Converse College,Conference Carolinas,1,7,2020,W
90,Palm Beach Atl.,Palm Beach Atlantic University,Sunshine State,1,8,2020,W
91,Maryville,Maryville University of St. Louis,MO,1,10,2020,W
92,Gannon,Gannon University,PSAC,1,11,2020,W
92,Saint Rose,The College of Saint Rose,NE10,1,11,2020,W
94,Kutztown,Kutztown University of Pennsylvania,PSAC,1,12,2020,W
95,Adams St.,Adams State University,RMAC,0,8,2020,W
95,Alliance,University of Mount Union ,CACC,0,4,2020,W
95,Ashland,Ashland University,GLIAC,0,12,2020,W
95,Catawba,Catawba College,SAC,0,5,2020,W
95,Chestnut Hill,Chestnut Hill College,CACC,0,7,2020,W
95,Erskine,Erskine College,Conference Carolinas,0,7,2020,W
95,Felician,Felician University,CACC,0,5,2020,W
95,Saint Michael's,Saint Michael's College,NE10,0,10,2020,W
95,West Va. Wesleyan,West Virginia Wesleyan College,MEC,0,10,2020,W
1,St. Anselm,Saint Anselm College,NE10,4,0,2019,W
1,West Chester,West Chester University of Pennsylvania,PSAC,2,0,2019,W
1,New Haven,University of New Haven,NE10,2,0,2019,W
1,Queens,Queens University of Charlotte,NC,5,0,2019,W
1,Fort Lewis,Fort Lewis College,RMAC,2,0,2019,W
1,Le Moyne,Le Moyne College,NE10,4,0,2019,W
1,Mount Olive,University of Mount Olive,Conference Carolinas,7,0,2019,W
1,Assumption,Assumption University,NE10,3,0,2019,W
9,Lindenwood,Lindenwood University,GLVC,9,1,2019,W
10,UIndy,University of Indianapolis ,GLVC,7,1,2019,W
11,Tampa,University of Tampa,Sunshine State,6,1,2019,W
11,Rollins,Rollins College,Sunshine State,6,1,2019,W
13,Bridgeport,University of Bridgeport,ECC,5,1,2019,W
14,Mercy,Mercy College,ECC,4,1,2019,W
14,Davenport,Davenport University,GLIAC,4,1,2019,W
14,Roberts Wesleyan,Roberts Wesleyan College,ECC,4,1,2019,W
14,East Stroudsburg,East Stroudsburg University of Pennsylvania,PSAC,4,1,2019,W
14,Bloomsburg,Bloomsburg University of Pennsylvania,PSAC,4,1,2019,W
19,Belmont Abbey,Belmont Abbey College,Conference Carolinas,7,2,2019,W
20,Adelphi,Adelphi University,NE10,3,1,2019,W
20,Florida Tech,Florida Institute of Technology,Sunshine State,6,2,2019,W
20,Mercyhurst,Mercyhurst University,PSAC,3,1,2019,W
20,American Int'l,American International College,NE10,3,1,2019,W
20,Lee,Lee University,Gulf South,6,2,2019,W
20,Grand Valley St.,Grand Valley State University,GLIAC,3,1,2019,W
20,Limestone,Limestone University,Conference Carolinas,6,2,2019,W
27,Concordia-St. Paul,"Concordia University, St. Paul ",GLIAC,5,2,2019,W
27,Embry-Riddle,Embry,FL,5,2,2019,W
27,St. Thomas Aquinas,St. Thomas Aquinas College,ECC,5,2,2019,W
27,Alabama Huntsville,University of Alabama in Huntsville,Gulf South,5,2,2019,W
31,Lenoir-Rhyne,Lenoir,SAC,4,2,2019,W
31,Southern N.H.,Southern New Hampshire University,NE10,2,1,2019,W
31,Gannon,Gannon University,PSAC,4,2,2019,W
31,Fla. Southern,Florida Southern College,Sunshine State,6,3,2019,W
31,Bentley,Bentley University,NE10,2,1,2019,W
36,Palm Beach Atl.,Palm Beach Atlantic University,Sunshine State,5,3,2019,W
37,New York Tech,New York Institute of Technology ,ECC,3,2,2019,W
37,Lock Haven,Lock Haven University of Pennsylvania,PSAC,3,2,2019,W
37,Shepherd,Shepherd University,PSAC,3,2,2019,W
37,Charleston,University of Charleston,WV,3,2,2019,W
37,Maryville,Maryville University of St. Louis,MO,3,2,2019,W
37,Millersville,Millersville University of Pennsylvania,PSAC,3,2,2019,W
37,Barton,Barton College,Conference Carolinas,6,4,2019,W
44,Saint Leo,Saint Leo University,Sunshine State,4,3,2019,W
44,Montevallo,University of Montevallo,Gulf South,4,3,2019,W
44,McKendree,McKendree University,GLVC,4,3,2019,W
47,Indiana,Indiana University of Pennsylvania,PA,2,2,2019,W
47,Regis,Regis University,CO,2,2,2019,W
47,Alliance,University of Mount Union ,CACC,1,1,2019,W
47,UC-Colo. Springs,University of Colorado Colorado Springs ,RMAC,3,3,2019,W
47,Edinboro,Edinboro University of Pennsylvania,PSAC,2,2,2019,W
47,Mars Hill,Mars Hill University,SAC,4,4,2019,W
47,Franklin Pierce,Franklin Pierce University,NE10,2,2,2019,W
47,Felician,Felician University,CACC,1,1,2019,W
47,Pace,Pace University,NE10,1,1,2019,W
47,Rockhurst,Rockhurst University,GLVC,4,4,2019,W
47,Alderson Broaddus,Alderson Broaddus University,G-MAC,2,2,2019,W
47,Shippensburg,Shippensburg University of Pennsylvania,PSAC,3,3,2019,W
47,Seton Hill,Seton Hill University,PSAC,3,3,2019,W
47,Stonehill,Stonehill College,NE10,2,2,2019,W
47,Colorado Mesa,Colorado Mesa University,RMAC,2,2,2019,W
47,Lynn,Lynn University,Sunshine State,3,3,2019,W
47,Tusculum,Tusculum University,SAC,3,3,2019,W
64,Lander,Lander University,Gulf South,4,5,2019,W
64,Newberry,Newberry College,SAC,4,5,2019,W
66,Slippery Rock,Slippery Rock University of Pennsylvania,PSAC,2,3,2019,W
66,Findlay,University of Findlay,G-MAC,2,3,2019,W
66,Walsh,Walsh University,G-MAC,2,3,2019,W
66,Kutztown,Kutztown University of Pennsylvania,PSAC,2,3,2019,W
66,Northern Mich.,Northern Michigan University,GLIAC,2,3,2019,W
66,Lincoln Memorial,Lincoln Memorial University,SAC,2,3,2019,W
66,Coker,Coker University,SAC,2,3,2019,W
66,Saint Rose,The College of Saint Rose,NE10,2,3,2019,W
66,Notre Dame,University of Notre Dame,OH,2,3,2019,W
66,Molloy,Molloy College,ECC,2,3,2019,W
66,Southern Conn. St.,Southern Connecticut State University,NE10,2,3,2019,W
77,Young Harris,Young Harris College,Gulf South,3,5,2019,W
77,Wingate,Wingate University,SAC,3,5,2019,W
79,Ashland,Ashland University,GLIAC,2,4,2019,W
79,Lees-McRae,Lees,Conference Carolinas,2,4,2019,W
79,Southern Wesleyan,Southern Wesleyan University,Conference Carolinas,2,4,2019,W
79,UVA Wise,University of Virginia's College at Wise,SAC,2,4,2019,W
83,Quincy,Quincy University,GLVC,2,5,2019,W
84,Lewis,Lewis University,GLVC,2,6,2019,W
84,North Greenville,North Greenville University,Conference Carolinas,2,6,2019,W
84,Davis & Elkins,Davis & Elkins College,MEC,1,3,2019,W
87,CSU Pueblo,Colorado State University Pueblo,RMAC,1,4,2019,W
87,Tiffin,Tiffin University,G-MAC,1,4,2019,W
89,Wilmington,Wilmington University ,DE,1,6,2019,W
89,Catawba,Catawba College,SAC,1,6,2019,W
89,Chowan,Chowan University,Conference Carolinas,1,6,2019,W
89,Georgian Court,Georgian Court University,CACC,1,6,2019,W
89,Post,Post University,CACC,1,6,2019,W
94,Upper Iowa,Upper Iowa University,GLIAC,0,1,2019,W
94,Adams St.,Adams State University,RMAC,0,3,2019,W
94,Dominican,Dominican College ,NY,0,4,2019,W
94,Converse,Converse College,Conference Carolinas,0,6,2019,W
94,Caldwell,Caldwell University,CACC,0,4,2019,W
94,Chestnut Hill,Chestnut Hill College,CACC,0,4,2019,W
94,Emmanuel,Emmanuel College ,GA,0,6,2019,W
94,Shorter,Shorter University,Gulf South,0,5,2019,W
94,Westminster,Westminster College ,UT,0,1,2019,W
94,Okla. Baptist,Oklahoma Baptist University,RMAC,0,5,2019,W
94,Ursuline,Ursuline College,G-MAC,0,3,2019,W
94,West Va. Wesleyan,West Virginia Wesleyan College,MEC,0,4,2019,W
94,Jefferson,Jefferson ,CACC,0,4,2019,W
94,Dist. Columbia,University of the District of Columbia,ECC,0,3,2019,W
94,Erskine,Erskine College,Conference Carolinas,0,7,2019,W
94,Holy Family,Holy Family University,CACC,0,3,2019,W
1,Regis,Regis University,CO,20,1,2018,W
2,Le Moyne,Le Moyne College,NE10,20,2,2018,W
3,UIndy,University of Indianapolis ,GLIAC,18,2,2018,W
3,Limestone,Limestone University,Conference Carolinas,18,2,2018,W
5,West Chester,West Chester University of Pennsylvania,PSAC,20,3,2018,W
6,Queens,Queens University of Charlotte,NC,19,3,2018,W
6,Adelphi,Adelphi University,NE10,19,3,2018,W
8,Alabama Huntsville,University of Alabama in Huntsville,Gulf South,16,3,2018,W
8,Lindenwood,Lindenwood University,RMAC,16,3,2018,W
10,Rollins,Rollins College,Sunshine State,15,3,2018,W
11,Fla. Southern,Florida Southern College,Sunshine State,16,4,2018,W
12,Colorado Mesa,Colorado Mesa University,RMAC,15,4,2018,W
12,Georgian Court,Georgian Court University,CACC,15,4,2018,W
14,Tampa,University of Tampa,Sunshine State,14,4,2018,W
14,Grand Valley St.,Grand Valley State University,GLIAC,14,4,2018,W
16,Saint Leo,Saint Leo University,Sunshine State,13,4,2018,W
17,LIU Post,LIU Post ,ECC,16,5,2018,W
18,Mercy,Mercy College,ECC,15,5,2018,W
19,Assumption,Assumption University,NE10,14,5,2018,W
20,New York Tech,New York Institute of Technology ,ECC,13,5,2018,W
21,East Stroudsburg,East Stroudsburg University of Pennsylvania,PSAC,15,6,2018,W
